ra,dec,beta_t,min_chi_sq
88.54420861127956,-67.79036497657829,4.363323129985824e-05,-74.31816411116412
71.36111820922982,-72.47225150433073,4.363323129985824e-05,-77.39012512016541
87.63168336037243,-69.65321338952094,4.363323129985824e-05,-69.12038814826421
70.38200661776233,-68.2423040401071,3.490658503988659e-05,-50.82813711349128
71.65683962264151,-70.38238950718622,3.490658503988659e-05,-57.58429050677693
87.74761541099095,-66.94426047572298,3.490658503988659e-05,-73.42719708002507
90.42593250444052,-67.24451705126012,3.490658503988659e-05,-59.723904173905325
81.81014260139514,-72.58798571415504,4.363323129985824e-05,-55.42385223864599
82.88737079324424,-68.41237379445207,3.490658503988659e-05,-55.82898839456281
87.06125725098488,-66.83059829087983,4.363323129985824e-05,-77.07557988795412
82.74511356649091,-70.75427732939826,3.490658503988659e-05,-72.22646543417129
83.15224316432173,-69.72682061595435,3.490658503988659e-05,-58.498049157362026
80.86729116630893,-67.48984868231236,3.490658503988659e-05,-61.08078523775104
70.93943004425424,-67.8443759583217,3.490658503988659e-05,-61.083611194079616
73.61718681189629,-71.68672664779211,4.363323129985824e-05,-70.43630773234914
76.82537145818934,-69.22808254731294,4.363323129985824e-05,-176.8274784348943
72.95977494121598,-70.78432353922773,3.490658503988659e-05,-57.36479905854209
82.84216564280956,-65.70692291981166,3.490658503988659e-05,-48.1470020989003
85.63294828574483,-71.55150386492699,4.363323129985824e-05,-79.34692187393763
83.5216734217215,-66.4542910903939,4.363323129985824e-05,-83.72781683733484
79.90218148172876,-71.20682121793321,3.490658503988659e-05,-54.09227740290887
84.63230870207295,-70.32696878557744,4.363323129985824e-05,-92.80320826133321
72.15082732286805,-68.84877588204469,4.363323129985824e-05,-113.81373016750774
82.76124019020374,-66.76009427254067,3.490658503988659e-05,-53.96467348117979
86.59159012838941,-67.88747205470582,3.490658503988659e-05,-50.85890622536873
75.94020971160641,-67.63084878836423,4.363323129985824e-05,-167.88705783507982
88.36869419216974,-68.83479697410718,4.363323129985824e-05,-71.3949627981871
80.87693786196607,-68.70842768657211,3.490658503988659e-05,-48.08793727395636
70.61895385319302,-68.02364948024078,3.490658503988659e-05,-48.92702423222114
81.8609501652268,-65.73320877088088,3.490658503988659e-05,-48.46461202627
81.4452363181085,-67.62229879346827,3.490658503988659e-05,-46.202452211224745
72.30964535925705,-70.18567922348493,3.490658503988659e-05,-52.00213247600415
75.69307615899433,-67.9454740381818,4.363323129985824e-05,-93.4878353762073
82.89993748534813,-67.0087316788264,3.490658503988659e-05,-52.945531255552595
72.81560917715422,-66.68320375281985,4.363323129985824e-05,-87.75220191451689
73.45398652142862,-68.12707967985239,4.363323129985824e-05,-76.58461343704501
78.81786249531659,-70.8588903026128,4.363323129985824e-05,-65.91750069706173
86.3056733828208,-67.64467404516125,3.490658503988659e-05,-58.356569809935685
75.63427979494809,-69.73824166857635,3.490658503988659e-05,-62.70756483041518
86.13833426139526,-69.70343401591566,3.490658503988659e-05,-59.45188855182219
73.05295762090071,-70.69399987869427,3.490658503988659e-05,-55.66500995847853
78.2883045043463,-69.56726712040398,3.490658503988659e-05,-77.95832909056465
82.70454884785747,-68.35696106964815,4.363323129985824e-05,-116.19396400017165
88.53649489856257,-73.34244272532936,3.490658503988659e-05,-53.797002950958046
89.9057587753158,-68.13816690685266,4.363323129985824e-05,-71.23405683839134
85.07669807635507,-71.18511460805206,3.490658503988659e-05,-58.8080511120717
77.45200381993612,-73.68721691753727,4.363323129985824e-05,-67.787721768059
84.77277735486196,-72.11084925182536,4.363323129985824e-05,-91.35747716402986
72.08226415695776,-67.46091665705123,4.363323129985824e-05,-73.01418537224623
80.42198864998801,-67.52933218283047,4.363323129985824e-05,-99.0478066081647
82.27451482291617,-66.83533467588464,3.490658503988659e-05,-68.51533997334897
88.27687713712452,-70.9676490031589,3.490658503988659e-05,-63.961622865989895
86.980552003844,-67.95147391658172,4.363323129985824e-05,-83.45434152791756
85.84697542458798,-67.14147543846752,3.490658503988659e-05,-58.422983726948225
84.88660082370345,-67.54115851163866,3.490658503988659e-05,-63.953391572782685
83.15040155755659,-70.10143444327406,3.490658503988659e-05,-62.46592140950524
87.48806587802534,-68.52826981260762,4.363323129985824e-05,-86.85209639693079
85.3278706668831,-65.63097872086547,3.490658503988659e-05,-54.17176569516089
72.91249964785756,-70.90757146728828,3.490658503988659e-05,-58.236589393852384
84.69278461907868,-69.07348412375774,3.490658503988659e-05,-85.1687846451027
81.39968253039369,-65.41550081037795,4.363323129985824e-05,-64.1538657941138
76.16486411185126,-68.74111190384468,3.490658503988659e-05,-57.20302415522581
75.90752101246255,-67.69269606192054,4.363323129985824e-05,-136.50766506954022
75.36151177651999,-69.36287132660365,3.490658503988659e-05,-58.00486694442872
83.83789388377747,-67.39249299090983,3.490658503988659e-05,-50.45148822088761
83.44426213123221,-68.44707227591647,3.490658503988659e-05,-56.12454285397904
78.44726009776177,-69.07384707584836,3.490658503988659e-05,-103.37496346458613
87.49730232118523,-67.19245242373643,3.490658503988659e-05,-45.575413475627954
74.6518536493722,-67.04915900760815,3.490658503988659e-05,-48.80323801997989
77.57024534246995,-66.50113842861072,3.490658503988659e-05,-57.34254538332778
78.06174370917928,-68.72967262695406,3.490658503988659e-05,-53.9991108356972
77.37508804792903,-66.78632936644442,3.490658503988659e-05,-52.96224933295206
88.76327208937309,-72.53653044325885,4.363323129985824e-05,-58.78658389747674
71.44456910337665,-68.56060046831679,3.490658503988659e-05,-54.67652233486318
88.23236639000756,-70.27172455245672,4.363323129985824e-05,-57.32215770255351
88.37271736646923,-69.58467489631366,4.363323129985824e-05,-87.2158504892939
85.66288993525603,-69.26944746148911,3.490658503988659e-05,-62.252030574368455
75.5530198446937,-69.2026816827543,4.363323129985824e-05,-146.22627424617812
80.5662687094576,-68.66593558379721,4.363323129985824e-05,-88.51398397534555
87.81934375830265,-71.10714607719905,4.363323129985824e-05,-127.1582782982585
83.1245767668062,-66.64767017913935,4.363323129985824e-05,-96.45652318835523
88.50117587770872,-70.78758148179972,4.363323129985824e-05,-81.38274742449845
86.29020992896544,-67.36828798468096,4.363323129985824e-05,-99.19563859164269
86.53217024280704,-66.06440940634461,4.363323129985824e-05,-65.94641082067113
83.14450755022247,-68.69953001298128,4.363323129985824e-05,-98.16428589321885
87.20791672373647,-72.99968189236188,3.490658503988659e-05,-45.9458541298609
80.50216883550219,-65.75164460122858,4.363323129985824e-05,-82.49243610300945
75.34043145684127,-69.38173582028924,3.490658503988659e-05,-57.63340816401507
83.23428634774108,-72.22049880799864,4.363323129985824e-05,-89.90704772486977
83.03133797343742,-69.22046239635901,4.363323129985824e-05,-75.99201688531267
77.86436768833187,-70.6415016095466,4.363323129985824e-05,-90.09097962330459
80.45749963766181,-66.43970744706878,3.490658503988659e-05,-48.141294174660175
82.54908218430138,-66.63218047305571,3.490658503988659e-05,-54.689976929753854
83.08045695772128,-68.72658580121782,3.490658503988659e-05,-66.25723546835243
85.44951193503405,-70.3231652324562,3.490658503988659e-05,-49.43691864352805
85.46556171310365,-68.91757652041542,3.490658503988659e-05,-62.49166113857835
79.05775899902757,-69.14697759628018,3.490658503988659e-05,-75.84278132038037
80.32993107104984,-69.69962681414549,4.363323129985824e-05,-88.4082544066717
82.75123289604855,-69.6649983673403,4.363323129985824e-05,-111.1283616582133
84.49956211685225,-68.47740910008184,3.490658503988659e-05,-80.71679862141701
90.3816397773375,-72.91342647711156,4.363323129985824e-05,-60.372938659397825
81.58409914204003,-66.43387388137154,4.363323129985824e-05,-82.3970155118872
79.12805344369968,-66.02372742602341,3.490658503988659e-05,-61.52739019361889
74.31084094669448,-67.52951412818659,3.490658503988659e-05,-56.456489960618754
83.89121790993174,-69.24078259253797,4.363323129985824e-05,-115.30459298626923
74.98199414809812,-68.46541987906494,3.490658503988659e-05,-92.20911974892022
87.81587057010785,-69.7420486409125,4.363323129985824e-05,-92.49171844190387
79.29995630766129,-68.63742426174353,3.490658503988659e-05,-70.88060514351731
87.35529021034318,-69.58104831561397,3.490658503988659e-05,-50.02949138931358
68.5863502182299,-70.19365021166223,3.490658503988659e-05,-48.03211762203644
84.2886080318183,-68.15107145115653,3.490658503988659e-05,-48.35821325102973
79.20776034409644,-72.25427550838094,4.363323129985824e-05,-90.72873405533458
77.91820560464146,-66.300778803882,3.490658503988659e-05,-71.14414863398336
78.12459002951788,-68.10217810281793,3.490658503988659e-05,-63.00271897509916
80.02247777060255,-68.31553444174119,3.490658503988659e-05,-55.174246972936174
76.95213899360759,-69.19923434296288,3.490658503988659e-05,-55.50987119071836
85.11619936677873,-73.54117505621609,3.490658503988659e-05,-54.319112871836865
82.60181872511569,-67.76344854857689,4.363323129985824e-05,-107.99886783031992
74.01238649822346,-71.84270709254545,4.363323129985824e-05,-95.95104251362187
84.70186963112683,-70.48144703938547,3.490658503988659e-05,-52.56177565918664
75.9803559464706,-69.1079636250065,3.490658503988659e-05,-63.78285794216046
92.17517616516257,-68.21577170146895,3.490658503988659e-05,-55.5812770537376
76.87925119897507,-68.70479599875432,4.363323129985824e-05,-179.15195222500165
78.24471088881269,-72.23187829796265,4.363323129985824e-05,-63.23539229603676
87.31715498860376,-70.48814692483374,4.363323129985824e-05,-65.81586662960058
86.20207845868515,-67.04205711909941,3.490658503988659e-05,-59.640310093550816
82.90840537492953,-67.05717128737749,4.363323129985824e-05,-94.98075923432629
72.60118844892179,-69.98709779655636,3.490658503988659e-05,-47.74896493013953
75.08982902235863,-69.53825310121894,3.490658503988659e-05,-70.71671607800819
83.20493997367973,-69.9640830781278,3.490658503988659e-05,-87.06435845059815
81.50701775109805,-73.32296353038248,4.363323129985824e-05,-49.23544478893096
83.1546905222437,-71.46670524945995,3.490658503988659e-05,-48.345504576354315
72.61614780567224,-70.05976096884288,4.363323129985824e-05,-110.14304706035094
86.21326642482151,-69.87491597816299,3.490658503988659e-05,-59.366368808071506
90.56520631917856,-70.28114356849414,3.490658503988659e-05,-57.293846117941314
81.6930279232915,-70.52236961382997,3.490658503988659e-05,-55.41777910703527
80.75375456970656,-68.19450863168865,4.363323129985824e-05,-53.762124215116685
82.24355923355647,-66.59081172306676,3.490658503988659e-05,-78.06752670786459
78.41705276096823,-67.2013729256013,4.363323129985824e-05,-81.55919825703265
74.51555844343369,-67.61138372299001,3.490658503988659e-05,-59.245555466023944
72.39353712669816,-68.60854837438936,4.363323129985824e-05,-95.16498908688729
73.9583717296366,-67.58664213463379,4.363323129985824e-05,-74.70934845833304
85.27705796195958,-72.50872506626855,3.490658503988659e-05,-67.16710892672388
88.55202745382721,-70.9839341718296,4.363323129985824e-05,-72.84686406600879
74.0416800385109,-67.61484018423153,3.490658503988659e-05,-53.36266446791576
78.64922384626364,-68.61944509700922,4.363323129985824e-05,-110.03683487225169
85.83772577131211,-66.99215927820289,4.363323129985824e-05,-86.6969322174106
84.55098718213769,-69.16857032467179,3.490658503988659e-05,-57.30848149063489
76.6863323070464,-69.48783808833898,4.363323129985824e-05,-122.98244997106562
68.91037839595306,-71.25457336574341,4.363323129985824e-05,-55.5967007908729
